,Pos,Artist,Title,Wks,T10,Pk,(x?),PkStreams,Total
0,1,The Weeknd,Blinding Lights,174,64,1,(x13),52375259,3433500819
1,2,Ed Sheeran,Shape of You,310,34,1,(x14),64217796,3318579901
2,3,Lewis Capaldi,Someone You Loved,220,15,4,,24962682,2642951162
3,4,Tones And I,Dance Monkey,151,41,1,(x17),52055226,2538070349
4,5,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,226,31,1,(x2),34579416,2506532527
5,6,Imagine Dragons,Believer,321,,16,,16864827,2418875029
6,7,The Kid LAROI,Stay,90,43,1,(x12),70502410,2390096761
7,8,Ed Sheeran,Perfect,315,15,4,,24763619,2353054730
8,9,Glass Animals,Heat Waves,118,37,1,(x10),31668100,2243046593
9,10,Billie Eilish,lovely,258,,24,,14081242,2138193234
10,11,Harry Styles,Watermelon Sugar,176,18,4,,28265526,2137964286
11,12,Shawn Mendes,Señorita,146,23,1,(x14),67237638,2072961200
12,13,Post Malone,rockstar,172,27,1,(x17),46995997,2072812831
13,14,Harry Styles,As It Was,52,49,1,(x11),78460903,2067017387
14,15,Dua Lipa,Don't Start Now,159,33,2,(x1),37779776,2052242293
15,16,James Arthur,Say You Won't Let Go,294,15,7,,19297939,2014970248
16,17,Billie Eilish,bad guy,135,24,1,(x6),50342324,1896726225
17,18,Post Malone,Circles,164,18,1,(x1),43379405,1849625610
18,19,Juice WRLD,Lucid Dreams,197,15,3,(x1),27389019,1835881201
19,20,Drake,One Dance,174,26,1,(x14),47782311,1809153682
20,21,The Chainsmokers,Closer,201,28,1,(x11),46300740,1792942076
21,22,Lady Gaga,Shallow,181,12,3,(x2),31597226,1730413820
22,23,Lil Nas X,INDUSTRY BABY,81,40,2,(x8),53085371,1632867564
23,24,Olivia Rodrigo,good 4 u,78,17,1,(x7),84131760,1618703681
24,25,Olivia Rodrigo,drivers license,96,16,1,(x10),80764045,1574743121
25,26,Dua Lipa,Levitating,115,12,4,,30358414,1568650961
26,27,Ariana Grande,7 rings,143,16,1,(x10),71467874,1547429518
27,28,XXXTENTACION,SAD!,163,12,1,(x2),38010231,1531066913
28,29,The Weeknd,Starboy,144,21,1,(x6),35360281,1527895537
29,30,XXXTENTACION,Jocelyn Flores,217,2,7,,25442646,1511632218
30,31,The Neighbourhood,Sweater Weather,160,,19,,16934686,1491963173
31,32,Queen,Bohemian Rhapsody - Remastered 2011,224,,11,,18440196,1484719835
32,33,Drake,God's Plan,104,21,1,(x11),54891573,1446481457
